"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20068959,"11/02/2022 04:06:00 PM","11/02/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","LOST CANYON RD AND SOLEDAD CANYON RD, SANTA CLARITA, CA","LOST CANYON RD AND SOLEDAD CANYON RD","SANTA CLARITA",,"922-15554-0633","0633","15554","NO","CA0190006","SANTA CLARITA VALLEY",-118.437,34.419,2
20068971,"11/02/2022 04:23:00 PM","11/02/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","LOST CANYON RD AND SOLEDAD CANYON RD, CASTAIC, CA","LOST CANYON RD AND SOLEDAD CANYON RD","CASTAIC",,"922-15556-0633","0633","15556","NO","CA0190006","SANTA CLARITA VALLEY",-118.437,34.419,2
20077416,"11/12/2022 12:55:00 PM","11/12/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","29300 THE OLD RD, CASTAIC, CA","29300 THE OLD RD","CASTAIC",,"922-00832-5610","5610","00832","NO","CA0190082","PDC - SOUTH",-118.612,34.45,2
20083615,"11/20/2022 02:15:00 AM","11/20/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4300 W AVENUE L, LANCASTER, CA","4300 W AVENUE L","LANCASTER",,"922-19883-1182","1182","19883","NO","CA0190024","LANCASTER",-118.209,34.659,1
20082485,"11/18/2022 03:00:00 PM","11/18/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4500 MUSCATEL AVE, ROSEMEAD, CA 91770","4500 MUSCATEL AVE","ROSEMEAD","91770","922-13159-0530","0530","13159","NO","CA0190005","TEMPLE",-118.078,34.087,1
20083188,"11/19/2022 02:00:00 PM","11/19/2022","AGGRAVATED ASSAULT","053","ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON","6TH ST E AND PALMDALE BLVD, PALMDALE, CA","6TH ST E AND PALMDALE BLVD","PALMDALE",,"022-15639-2610","2610","15639","NO","CA01900W9","PALMDALE",-118.118,34.579,1
20078724,"11/13/2022 01:00:00 PM","11/14/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","2100 PACIFIC COAST HWY, LOMITA, CA 90717","2100 PACIFIC COAST HWY","LOMITA","90717","022-03887-1714","1714","03887","NO","CA0190017","LOMITA",-118.318,33.789,2
20073283,"10/13/2022 06:52:00 AM","11/07/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1300 N CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA 90046","1300 N CRESCENT HEIGHTS BLVD","WEST HOLLYWOOD","90046","922-06913-0975","0975","06913","NO","CA0190009","WEST HOLLYWOOD",-118.365,34.095,1
20075934,"11/10/2022 12:22:00 PM","11/10/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","AVENUE I AND 20TH ST E, LANCASTER, CA","AVENUE I AND 20TH ST E","LANCASTER",,"922-19365-1135","1135","19365","NO","CA0190024","LANCASTER",-118.165,34.704,2
20069258,"11/02/2022 10:05:49 PM","11/02/2022","VANDALISM","263","VANDALISM FELONY","500 E CARSON PLAZA DR, CARSON, CA","500 E CARSON PLAZA DR","CARSON",,"922-11140-1614","1614","11140","NO","CA0190016","CARSON",-118.266,33.845,2
